combo_id,base,short_delta,long_delta,ivr_min,profit_target_pct,hard_exit_dte,target_dte,trades,wins,losses,win_rate,total_pnl,avg_trade,max_drawdown
120,v5_sweep,0.1,0.05,20,0.25,21,30,45,33,12,73.3,8043.85,178.75,-376.69
124,v5_sweep,0.1,0.05,20,0.5,14,30,32,22,10,68.8,5696.51,178.02,-720.22
121,v5_sweep,0.1,0.05,20,0.25,21,45,33,26,7,78.8,5846.37,177.16,-831.85
57,v5_sweep,0.1,0.03,20,0.5,30,45,30,20,10,66.7,5280.56,176.02,-912.32
347,v5_sweep,0.16,0.1,20,0.75,14,45,18,11,7,61.1,3152.46,175.14,-1409.89
546,v5_sweep,0.25,0.1,0,0.75,21,30,30,13,17,43.3,5203.83,173.46,-1035.81
202,v5_sweep,0.16,0.03,20,0.75,14,30,27,15,12,55.6,4601.44,170.42,-1745.2
4,v1_sweep,,,,0.5,,5,20,15,5,75.0,3401.77,170.09,-158.0
10,v1_sweep,,,,0.25,,5,27,23,4,85.2,4587.07,169.89,-463.86
150,v5_sweep,0.1,0.05,30,0.75,21,30,33,24,9,72.7,5571.21,168.82,-362.83
338,v5_sweep,0.16,0.1,20,0.25,30,30,68,40,28,58.8,10899.92,160.29,-781.57
344,v5_sweep,0.16,0.1,20,0.5,30,30,68,40,28,58.8,10899.92,160.29,-781.57
350,v5_sweep,0.16,0.1,20,0.75,30,30,68,40,28,58.8,10899.92,160.29,-781.57
118,v5_sweep,0.1,0.05,20,0.25,14,30,39,29,10,74.4,6172.09,158.26,-720.22
126,v5_sweep,0.1,0.05,20,0.5,21,30,39,26,13,66.7,6170.83,158.23,-375.9
9,v1_sweep,,,,0.75,,14,12,7,5,58.3,1892.98,157.75,-62.42
50,v5_sweep,0.1,0.03,20,0.25,30,30,68,40,28,58.8,10679.22,157.05,-1147.03
56,v5_sweep,0.1,0.03,20,0.5,30,30,68,40,28,58.8,10679.22,157.05,-1147.03
62,v5_sweep,0.1,0.03,20,0.75,30,30,68,40,28,58.8,10679.22,157.05,-1147.03
15,v1_sweep,,,,0.5,,14,13,8,5,61.5,2028.3,156.02,-284.66
474,v5_sweep,0.25,0.05,0,0.75,21,30,30,14,16,46.7,4654.67,155.16,-1678.31
5,v1_sweep,,,,0.5,,7,17,12,5,70.6,2628.43,154.61,-118.22
412,v5_sweep,0.25,0.03,20,0.5,14,30,23,13,10,56.5,3543.37,154.06,-3824.75
21,v1_sweep,,,,0.25,,14,19,15,4,78.9,2878.88,151.52,-1179.92
55,v5_sweep,0.1,0.03,20,0.5,21,45,29,21,8,72.4,4351.22,150.04,-1174.02
180,v5_sweep,0.16,0.03,0,0.5,21,30,38,15,23,39.5,5678.03,149.42,-1415.39
346,v5_sweep,0.16,0.1,20,0.75,14,30,23,14,9,60.9,3278.59,142.55,-762.16
324,v5_sweep,0.16,0.1,0,0.5,21,30,35,18,17,51.4,4746.59,135.62,-505.17
189,v5_sweep,0.16,0.03,0,0.75,30,45,29,10,19,34.5,3822.93,131.83,-2427.18
52,v5_sweep,0.1,0.03,20,0.5,14,30,34,24,10,70.6,4481.07,131.8,-1015.97
361,v5_sweep,0.16,0.1,30,0.5,21,45,27,21,6,77.8,3539.36,131.09,-1280.25
330,v5_sweep,0.16,0.1,0,0.75,21,30,32,16,16,50.0,4155.55,129.86,-517.2
12,v1_sweep,,,,0.25,,14,16,12,4,75.0,2075.82,129.74,-333.18
258,v5_sweep,0.16,0.05,0,0.75,21,30,33,14,19,42.4,4262.82,129.18,-1251.55
268,v5_sweep,0.16,0.05,20,0.5,14,30,27,15,12,55.6,3404.12,126.08,-1869.23
6,v1_sweep,,,,0.5,,14,12,7,5,58.3,1499.16,124.93,-62.42
59,v5_sweep,0.1,0.03,20,0.75,14,45,23,14,9,60.9,2802.36,121.84,-1234.35
122,v5_sweep,0.1,0.05,20,0.25,30,30,68,40,28,58.8,8181.44,120.32,-688.74
128,v5_sweep,0.1,0.05,20,0.5,30,30,68,40,28,58.8,8181.44,120.32,-688.74
134,v5_sweep,0.1,0.05,20,0.75,30,30,68,40,28,58.8,8181.44,120.32,-688.74
131,v5_sweep,0.1,0.05,20,0.75,14,45,20,13,7,65.0,2397.78,119.89,-831.39
60,v5_sweep,0.1,0.03,20,0.75,21,30,33,21,12,63.6,3942.69,119.48,-789.77
