tier,variant,ticker,entry_time,exit_time,contracts,ivr_at_entry,sigma_at_entry,entry_underlying,pnl_usd,pnl_pct,exit_reason,exit_result,hold_days
0,v2_hold_day,IWM,2026-04-15 19:55:00+00:00,2026-04-16 19:00:00+00:00,1,2.4,0.089,269.4100036621094,56.698288852030096,0.5166450806036442,PROFIT_TARGET,WIN,0.9618055555555556
0,v2_hold_day,IWM,2026-04-21 19:00:00+00:00,2026-04-21 19:55:00+00:00,1,17.7,0.175,275.5899963378906,-38.414280128411036,-0.18525788763770204,EOD,LOSS,0.03819444444444445
0,v3_phaseB,IWM,2026-02-24 19:30:00+00:00,2026-03-19 13:30:00+00:00,1,100.0,0.154,263.5,-378.992936015265,-2.2450353130420733,STOP_LOSS,LOSS,22.75
0,v3_phaseB,IWM,2026-03-24 13:30:00+00:00,2026-04-07 13:45:00+00:00,1,30.8,0.233,246.4199981689453,140.910415298949,0.5008933620415899,PROFIT_TARGET,WIN,14.010416666666666
0,v3_phaseB,IWM,2026-04-10 13:45:00+00:00,2026-04-17 13:30:00+00:00,1,9.3,0.128,261.92999267578125,-291.6767282501855,-2.225100980254943,STOP_LOSS,LOSS,6.989583333333333
0,v3_phaseB,IWM,2026-04-22 13:30:00+00:00,2026-04-23 19:55:00+00:00,1,34.0,0.268,277.3299865722656,155.74782018150034,0.4357722886583885,END_OF_RANGE,WIN,1.2673611111111112
0,v4_filtered,IWM,2026-02-24 19:30:00+00:00,2026-03-19 13:30:00+00:00,1,100.0,0.154,263.5,-378.992936015265,-2.2450353130420733,STOP_LOSS,LOSS,22.75
0,v4_filtered,IWM,2026-03-24 15:20:00+00:00,2026-04-06 13:30:00+00:00,1,32.3,0.241,249.50999450683594,120.112931680834,0.536541154488965,PROFIT_TARGET,WIN,12.92361111111111
0,v4_filtered,IWM,2026-04-17 13:30:00+00:00,2026-04-17 13:35:00+00:00,1,38.2,0.292,274.04998779296875,213.08465325846248,0.5623648479200442,PROFIT_TARGET,WIN,0.01
0,v4_filtered,IWM,2026-04-22 13:35:00+00:00,2026-04-23 19:55:00+00:00,1,33.5,0.265,277.70001220703125,116.5485183621768,0.41498017156507405,END_OF_RANGE,WIN,1.2638888888888888
0,v5_hedged,IWM,2026-02-24 19:30:00+00:00,2026-03-19 13:30:00+00:00,3,100.0,0.154,263.5,-1136.978808045795,-2.2450353130420733,STOP_LOSS,LOSS,22.75
0,v5_hedged,IWM,2026-03-24 15:20:00+00:00,2026-04-06 13:30:00+00:00,1,32.3,0.241,249.50999450683594,120.112931680834,0.536541154488965,PROFIT_TARGET,WIN,12.92361111111111
0,v5_hedged,IWM,2026-04-17 13:30:00+00:00,2026-04-17 13:35:00+00:00,1,38.2,0.292,274.04998779296875,213.08465325846248,0.5623648479200442,PROFIT_TARGET,WIN,0.01
0,v5_hedged,IWM,2026-04-22 13:35:00+00:00,2026-04-23 19:55:00+00:00,1,33.5,0.265,277.70001220703125,116.5485183621768,0.41498017156507405,END_OF_RANGE,WIN,1.2638888888888888
1,v1_baseline,AAPL,2026-02-24 19:30:00+00:00,2026-04-17 13:30:00+00:00,1,100.0,0.243,272.07000732421875,450.4144594341063,0.7391190445716981,PROFIT_TARGET,WIN,51.75
1,v1_baseline,AAPL,2026-04-22 13:30:00+00:00,2026-04-23 19:55:00+00:00,1,22.8,0.183,267.32000732421875,-195.26219327062267,-0.3762717240540035,END_OF_RANGE,LOSS,1.2673611111111112
1,v2_hold_day,AAPL,2026-02-24 19:30:00+00:00,2026-02-24 20:55:00+00:00,1,100.0,0.243,272.07000732421875,35.85323978868988,0.11099359125885254,EOD,WIN,0.059027777777777776
1,v2_hold_day,AAPL,2026-02-27 20:55:00+00:00,2026-03-02 15:15:00+00:00,1,43.9,0.195,264.1700134277344,136.82735059859144,0.6086323515918391,PROFIT_TARGET,WIN,2.763888888888889
1,v2_hold_day,AAPL,2026-03-05 15:15:00+00:00,2026-03-05 20:55:00+00:00,1,32.0,0.203,258.8800048828125,43.205830047940786,0.18272915570748446,EOD,WIN,0.2361111111111111
1,v2_hold_day,AAPL,2026-03-10 19:55:00+00:00,2026-03-11 17:35:00+00:00,1,13.2,0.139,260.7200012207031,94.97978106496923,0.581872076030579,PROFIT_TARGET,WIN,0.9027777777777778
1,v2_hold_day,AAPL,2026-03-16 17:35:00+00:00,2026-03-16 19:55:00+00:00,1,23.7,0.175,252.56300354003906,2.592990802760742,0.009369050607977231,EOD,WIN,0.09722222222222222
1,v2_hold_day,AAPL,2026-03-19 19:55:00+00:00,2026-03-20 19:55:00+00:00,1,14.6,0.144,248.90699768066406,-7.385812634175459,-0.04254830115133627,EOD,LOSS,1.0
1,v2_hold_day,AAPL,2026-03-25 19:55:00+00:00,2026-03-26 14:00:00+00:00,1,6.9,0.118,252.57000732421875,136.20684828321498,0.5474995887835946,PROFIT_TARGET,WIN,0.7534722222222222
1,v2_hold_day,AAPL,2026-03-31 14:00:00+00:00,2026-03-31 19:55:00+00:00,1,42.0,0.236,248.6699981689453,-122.87184480691748,-0.45957502259368543,EOD,LOSS,0.2465277777777778
1,v2_hold_day,AAPL,2026-04-06 19:55:00+00:00,2026-04-07 13:30:00+00:00,1,6.8,0.122,258.8869934082031,-545.6654342575266,-3.4121493315140263,STOP_LOSS,LOSS,0.7326388888888888
1,v2_hold_day,AAPL,2026-04-10 13:30:00+00:00,2026-04-10 19:55:00+00:00,1,8.0,0.127,259.9049987792969,-51.760998596097174,-0.37387433239366424,EOD,LOSS,0.2673611111111111
1,v2_hold_day,AAPL,2026-04-15 19:55:00+00:00,2026-04-16 16:10:00+00:00,1,22.1,0.18,266.3699951171875,119.79356204438739,0.5213416032566669,PROFIT_TARGET,WIN,0.84375
1,v2_hold_day,AAPL,2026-04-21 16:10:00+00:00,2026-04-21 19:55:00+00:00,1,23.6,0.186,266.17999267578125,-0.6342412786211948,-0.002778428386454137,EOD,LOSS,0.15625
1,v3_phaseB,AAPL,2026-02-24 19:30:00+00:00,2026-03-20 19:30:00+00:00,1,100.0,0.243,272.07000732421875,-183.07217322097236,-0.7995515518183681,HARD_DTE_21,LOSS,24.0
1,v3_phaseB,AAPL,2026-03-25 19:30:00+00:00,2026-04-20 13:30:00+00:00,1,6.9,0.118,252.35000610351562,-180.7234536489013,-1.1834127556905296,HARD_DTE_21,LOSS,25.75
1,v3_phaseB,AAPL,2026-04-23 13:30:00+00:00,2026-04-23 19:55:00+00:00,1,17.3,0.16,275.0799865722656,-102.10052664315174,-0.6582047253592266,END_OF_RANGE,LOSS,0.2673611111111111
1,v4_filtered,AAPL,2026-02-24 19:30:00+00:00,2026-03-20 19:30:00+00:00,1,100.0,0.243,272.07000732421875,-183.07217322097236,-0.7995515518183681,HARD_DTE_21,LOSS,24.0
1,v4_filtered,AAPL,2026-03-31 18:55:00+00:00,2026-04-07 19:50:00+00:00,1,43.0,0.239,253.7550048828125,115.95362421715016,0.5025827395165772,PROFIT_TARGET,WIN,7.038194444444445
1,v4_filtered,AAPL,2026-04-14 16:45:00+00:00,2026-04-23 19:55:00+00:00,1,31.1,0.216,259.5849914550781,-111.72815124172524,-0.46577747136157127,END_OF_RANGE,LOSS,9.131944444444445
1,v5_hedged,AAPL,2026-02-24 19:30:00+00:00,2026-03-20 19:30:00+00:00,3,100.0,0.243,272.07000732421875,-549.2165196629171,-0.7995515518183681,HARD_DTE_21,LOSS,24.0
1,v5_hedged,AAPL,2026-03-31 18:55:00+00:00,2026-04-07 19:50:00+00:00,1,43.0,0.239,253.7550048828125,115.95362421715016,0.5025827395165772,PROFIT_TARGET,WIN,7.038194444444445
1,v5_hedged,AAPL,2026-04-14 16:45:00+00:00,2026-04-23 19:55:00+00:00,1,31.1,0.216,259.5849914550781,-111.72815124172524,-0.46577747136157127,END_OF_RANGE,LOSS,9.131944444444445
1,v1_baseline,MSFT,2026-02-24 19:30:00+00:00,2026-03-19 14:20:00+00:00,1,100.0,0.301,387.3570861816406,414.6579390500257,0.5451010037217667,PROFIT_TARGET,WIN,22.78472222222222
1,v1_baseline,MSFT,2026-03-24 14:20:00+00:00,2026-03-31 19:35:00+00:00,1,47.3,0.27,372.8800048828125,366.3926342195431,0.5023536246427036,PROFIT_TARGET,WIN,7.21875
1,v1_baseline,MSFT,2026-04-06 19:35:00+00:00,2026-04-13 13:40:00+00:00,1,5.5,0.122,372.3500061035156,278.09959602389074,0.5546558643748396,PROFIT_TARGET,WIN,6.753472222222222
1,v1_baseline,MSFT,2026-04-16 13:40:00+00:00,2026-04-23 13:50:00+00:00,1,45.3,0.287,417.3800048828125,397.9559600659405,0.5188462666478182,PROFIT_TARGET,WIN,7.006944444444445
1,v2_hold_day,MSFT,2026-02-24 19:30:00+00:00,2026-02-24 20:55:00+00:00,1,100.0,0.301,387.3570861816406,4.486665835259185,0.009237571992126848,EOD,WIN,0.059027777777777776
1,v2_hold_day,MSFT,2026-02-27 20:55:00+00:00,2026-03-02 14:30:00+00:00,1,11.9,0.176,392.67999267578125,193.1898942614656,0.5629419211178512,PROFIT_TARGET,WIN,2.732638888888889
1,v2_hold_day,MSFT,2026-03-05 14:30:00+00:00,2026-03-05 20:55:00+00:00,1,28.4,0.227,407.239990234375,-159.49553928088358,-0.38490118319897865,EOD,LOSS,0.2673611111111111
1,v2_hold_day,MSFT,2026-03-10 19:55:00+00:00,2026-03-11 18:30:00+00:00,1,7.0,0.161,405.760009765625,154.5229200034163,0.551171346614978,PROFIT_TARGET,WIN,0.9409722222222222
1,v2_hold_day,MSFT,2026-03-16 18:30:00+00:00,2026-03-16 19:55:00+00:00,1,5.0,0.151,399.45001220703125,-124.90364953898538,-0.48947001737446083,EOD,LOSS,0.059027777777777776
1,v2_hold_day,MSFT,2026-03-19 19:55:00+00:00,2026-03-20 18:10:00+00:00,1,5.9,0.136,388.87799072265625,-482.92271100544804,-2.0369831014518573,STOP_LOSS,LOSS,0.9270833333333334
1,v2_hold_day,MSFT,2026-03-25 18:10:00+00:00,2026-03-25 19:55:00+00:00,1,40.5,0.248,370.739990234375,19.74291714470473,0.05183746666246906,EOD,WIN,0.07291666666666667
1,v2_hold_day,MSFT,2026-03-30 19:55:00+00:00,2026-03-31 19:55:00+00:00,1,33.1,0.235,358.760009765625,-627.3123188174263,-1.736998112866239,EOD,LOSS,1.0
1,v2_hold_day,MSFT,2026-04-06 19:55:00+00:00,2026-04-07 15:00:00+00:00,1,4.3,0.118,372.8609924316406,-521.5400924037068,-2.044016240245307,STOP_LOSS,LOSS,0.7951388888888888
1,v2_hold_day,MSFT,2026-04-10 15:00:00+00:00,2026-04-10 19:55:00+00:00,1,27.6,0.214,372.2650146484375,41.25254229674531,0.10972742505803058,EOD,WIN,0.2048611111111111
1,v2_hold_day,MSFT,2026-04-15 19:55:00+00:00,2026-04-16 19:40:00+00:00,1,18.5,0.177,411.2727966308594,-660.3304563420979,-2.0642272441579386,STOP_LOSS,LOSS,0.9895833333333334
1,v2_hold_day,MSFT,2026-04-21 19:40:00+00:00,2026-04-21 19:55:00+00:00,1,28.1,0.216,423.8800048828125,-27.084691080739987,-0.07021357901474419,EOD,LOSS,0.010416666666666666
1,v3_phaseB,MSFT,2026-02-24 19:30:00+00:00,2026-03-02 14:30:00+00:00,1,100.0,0.301,387.3570861816406,249.4254047554902,0.5379661772097374,PROFIT_TARGET,WIN,5.791666666666667
