tier,variant,ticker,trades,wins,losses,scratches,win_rate,total_pnl,avg_trade_pnl,max_drawdown,profit_factor,avg_hold_days,sharpe_ish
2,v4_filtered,AMD,6,5,1,0,83.3,1929.93,321.66,-267.24,8.22,4.5,2.47
2,v5_hedged,AMD,6,5,1,0,83.3,5671.7,945.28,-267.24,22.22,4.5,2.87
2,v1_baseline,AVGO,3,2,1,0,66.7,558.69,186.23,-315.16,2.77,16.0,0.91
2,v2_hold_day,AVGO,12,5,7,0,41.7,-1399.58,-116.63,-1517.25,0.36,1.1,-1.23
2,v3_phaseB,AVGO,4,1,3,0,25.0,-1079.38,-269.84,-1344.1,0.2,11.8,-1.31
2,v4_filtered,AVGO,3,2,1,0,66.7,-820.96,-273.65,-1369.81,0.4,10.6,-0.61
2,v5_hedged,AVGO,3,2,1,0,66.7,-820.96,-273.65,-1369.81,0.4,10.6,-0.61
2,v1_baseline,COIN,3,2,1,0,66.7,643.29,214.43,-232.37,3.77,16.0,1.15
2,v2_hold_day,COIN,12,1,11,0,8.3,-3413.56,-284.46,-3413.56,0.05,1.0,-4.39
2,v3_phaseB,COIN,5,2,3,0,40.0,-847.42,-169.48,-1223.76,0.45,8.2,-0.76
2,v4_filtered,COIN,6,6,0,0,100.0,2221.53,370.25,0.0,inf,2.7,9.19
2,v5_hedged,COIN,6,6,0,0,100.0,3359.92,559.99,0.0,inf,2.7,2.66
3,v1_baseline,MSTR,4,4,0,0,100.0,1075.57,268.89,0.0,inf,11.3,4.08
3,v2_hold_day,MSTR,12,7,5,0,58.3,-1403.64,-116.97,-1497.78,0.37,0.9,-1.34
3,v3_phaseB,MSTR,5,4,1,0,80.0,515.86,103.17,-374.54,2.38,8.0,0.96
3,v4_filtered,MSTR,8,8,0,0,100.0,2709.23,338.65,0.0,inf,2.4,5.9
3,v5_hedged,MSTR,8,8,0,0,100.0,4940.18,617.52,0.0,inf,2.4,2.85
3,v1_baseline,DELL,1,0,1,0,0.0,-524.14,-524.14,-524.14,0.0,58.0,-524.14
3,v2_hold_day,DELL,12,4,8,0,33.3,-407.05,-33.92,-985.29,0.66,0.7,-0.49
3,v3_phaseB,DELL,4,0,4,0,0.0,-1819.58,-454.9,-1819.58,0.0,11.3,-6.09
3,v4_filtered,DELL,3,2,1,0,66.7,746.87,248.96,-428.89,2.74,0.9,0.9
3,v5_hedged,DELL,3,2,1,0,66.7,-110.92,-36.97,-1286.68,0.91,0.9,-0.07
3,v1_baseline,INTC,6,5,1,0,83.3,12.86,2.14,-727.55,1.02,6.5,0.02
3,v2_hold_day,INTC,12,6,6,0,50.0,-394.96,-32.91,-614.23,0.47,0.7,-1.01
3,v3_phaseB,INTC,5,4,1,0,80.0,19.73,3.95,-222.07,1.09,7.6,0.08
3,v4_filtered,INTC,5,5,0,0,100.0,444.12,88.82,0.0,inf,5.4,6.5
3,v5_hedged,INTC,5,5,0,0,100.0,752.26,150.45,0.0,inf,5.4,4.97
3,v1_baseline,PLTR,2,2,0,0,100.0,513.95,256.97,0.0,inf,26.5,1.57
3,v2_hold_day,PLTR,12,4,8,0,33.3,-1714.19,-142.85,-1767.02,0.22,0.7,-2.02
3,v3_phaseB,PLTR,3,1,2,0,33.3,-734.63,-244.88,-800.2,0.08,15.6,-1.83
3,v4_filtered,PLTR,3,3,0,0,100.0,455.9,151.97,0.0,inf,14.3,3.5
3,v5_hedged,PLTR,3,3,0,0,100.0,835.76,278.59,0.0,inf,14.3,3.09
3,v1_baseline,MU,3,2,1,0,66.7,1144.7,381.57,-70.29,17.29,16.7,2.07
3,v2_hold_day,MU,12,4,8,0,33.3,-1392.36,-116.03,-2192.05,0.48,1.2,-1.15
3,v3_phaseB,MU,4,3,1,0,75.0,270.04,67.51,-1100.71,1.25,11.8,0.19
3,v4_filtered,MU,4,3,1,0,75.0,-75.1,-18.77,-2038.4,0.96,8.8,-0.03
3,v5_hedged,MU,4,3,1,0,75.0,544.67,136.17,-2038.4,1.27,8.8,0.21
